id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3	pval	qval
ENSG00000184402	315.0	335.0	325.0	337.0	272.0	278.0	7.255901997649061e-06	2.0758883874211184e-05
ENSG00000185024	307.0	246.0	335.0	275.0	226.0	262.0	7.269930089506956e-06	2.0796355313647203e-05
ENSG00000178585	402.0	420.0	479.0	450.0	360.0	392.0	7.272810752580094e-06	2.0801932917945396e-05
ENSG00000142892	537.0	555.0	579.0	520.0	568.0	543.0	7.28389713127855e-06	2.083097634920422e-05
ENSG00000133858	781.0	897.0	859.0	855.0	647.0	776.0	7.290437013529934e-06	2.0847011636769475e-05
ENSG00000137819	38.0	30.0	34.0	97.0	87.0	98.0	7.436167694065507e-06	2.1261008119150702e-05
ENSG00000163249	495.0	523.0	478.0	514.0	456.0	453.0	7.4384769712053145e-06	2.1264889967445972e-05
ENSG00000151577	0.05	0.05	0.05	7.0	10.0	11.0	7.444360315563331e-06	2.127898694958989e-05
ENSG00000120053	349.0	384.0	418.0	685.0	932.0	801.0	7.485844925952985e-06	2.139483010107064e-05
ENSG00000163682	444.0	593.0	565.0	1047.0	1073.0	1150.0	7.501737961573676e-06	2.1437511282261755e-05
ENSG00000116128	440.0	321.0	399.0	906.0	785.0	700.0	7.513605549884264e-06	2.1468679609162978e-05
ENSG00000156052	431.0	493.0	510.0	498.0	401.0	379.0	7.541089812819423e-06	2.1544455899651705e-05
ENSG00000267673	81.0	62.0	61.0	149.0	206.0	213.0	7.622344280386664e-06	2.1773811534424235e-05
ENSG00000167566	523.0	467.0	490.0	488.0	501.0	445.0	7.628717385997084e-06	2.1789231521584464e-05
ENSG00000134504	409.0	411.0	441.0	432.0	267.0	311.0	7.635024493939363e-06	2.1804459088314754e-05
ENSG00000117425	8.0	3.0	0.05	39.0	24.0	32.0	7.649823870197976e-06	2.1843932280515483e-05
ENSG00000185753	215.0	243.0	256.0	165.0	225.0	169.0	7.654113310665199e-06	2.1853388290971664e-05
ENSG00000161021	611.0	549.0	652.0	1161.0	1024.0	1115.0	7.670952720446264e-06	2.189866893763575e-05
ENSG00000139330	3.0	8.0	14.0	0.05	0.05	0.05	7.712000567430961e-06	2.2013038278244944e-05
ENSG00000186297	89.0	107.0	91.0	57.0	68.0	68.0	7.719819648625375e-06	2.203254274429518e-05
ENSG00000127578	6.0	1.0	3.0	28.0	18.0	22.0	7.724618068495817e-06	2.2043422293024648e-05
ENSG00000165629	990.0	1098.0	1095.0	1864.0	1977.0	1904.0	7.74974025959558e-06	2.211154652267726e-05
ENSG00000168566	162.0	115.0	125.0	339.0	313.0	270.0	7.750469589301963e-06	2.211154652267726e-05
ENSG00000031823	436.0	403.0	507.0	811.0	841.0	937.0	7.757492454971843e-06	2.2128757198271097e-05
ENSG00000185332	4.0	6.0	10.0	0.05	0.05	0.05	7.822335091601059e-06	2.231087712725065e-05
ENSG00000196353	0.05	0.05	1.0	8.0	11.0	17.0	7.88257776004525e-06	2.2479832210787546e-05
ENSG00000170035	710.0	633.0	699.0	637.0	712.0	640.0	7.929156923463654e-06	2.2609750177288378e-05
ENSG00000271858	117.0	98.0	121.0	81.0	89.0	78.0	7.930157152619426e-06	2.2609750177288378e-05
ENSG00000204624	3.0	4.0	2.0	16.0	24.0	21.0	7.989380769891856e-06	2.2775697418646933e-05
ENSG00000185811	29.0	26.0	38.0	18.0	6.0	7.0	8.003993955769447e-06	2.2814445526732123e-05
ENSG00000159228	166.0	156.0	162.0	305.0	336.0	374.0	8.016509233742126e-06	2.2847204673694083e-05
ENSG00000184863	422.0	490.0	417.0	946.0	807.0	860.0	8.03040128176899e-06	2.2883878786494726e-05
ENSG00000237172	119.0	87.0	115.0	66.0	22.0	52.0	8.06748908522972e-06	2.2986635036035773e-05
ENSG00000169718	434.0	411.0	456.0	749.0	893.0	822.0	8.073197518315769e-06	2.2999967483656616e-05
ENSG00000064995	293.0	341.0	365.0	633.0	678.0	609.0	8.095290884188223e-06	2.3059970094194293e-05
ENSG00000176171	172.0	211.0	191.0	423.0	362.0	386.0	8.11209455833199e-06	2.3104891294295816e-05
ENSG00000177283	521.0	676.0	661.0	562.0	274.0	334.0	8.126570907406394e-06	2.3143173195846908e-05
ENSG00000160539	2.0	5.0	1.0	30.0	18.0	18.0	8.162817285263611e-06	2.3243434999208194e-05
ENSG00000133884	521.0	483.0	587.0	959.0	1241.0	1000.0	8.191654897523225e-06	2.332257765256103e-05
ENSG00000153064	47.0	45.0	27.0	4.0	18.0	11.0	8.218721219312875e-06	2.3396657718214626e-05
ENSG00000154803	293.0	250.0	267.0	495.0	591.0	506.0	8.230537721429225e-06	2.342731199347585e-05
ENSG00000156531	890.0	868.0	949.0	2419.0	1565.0	1808.0	8.241614389580765e-06	2.3455852873657838e-05
ENSG00000124257	7.0	11.0	12.0	37.0	42.0	40.0	8.291583440658813e-06	2.3595061142035208e-05
